filename,topic_sentiment_score_macroeconomic_commentary,topic_sentiment_score_asset_purchases_balance_sheet,topic_sentiment_score_financial_conditions_market_functioning,topic_sentiment_score_timing_operations,topic_sentiment_score_federal_reserve_agencies,macroeconomic_commentary,asset_purchases_balance_sheet,financial_conditions_market_functioning,timing_operations,federal_reserve_agencies,word_count,overall_sentiment,topic_sentiment_score_macroeconomic_commentary_category,topic_sentiment_score_asset_purchases_balance_sheet_category,topic_sentiment_score_financial_conditions_market_functioning_category,topic_sentiment_score_timing_operations_category,topic_sentiment_score_federal_reserve_agencies_category,monetary_policy,federal_reserve,inflation,federal_fund_rate,labor_market,target_range,stance_monetary_policy,maximum_employment_price,open_market_committee,holding_treasury_security,date,ticker,speech_close,pre_market_movement,after_1_day_market,before_5_open,before_5_close,before_4_open,before_4_close,before_3_open,before_3_close,before_2_open,before_2_close,before_1_open,before_1_close,after_1_open,after_1_close,after_2_open,after_2_close,after_3_open,after_3_close,after_4_open,after_4_close,after_5_open,after_5_close,after_6_open,after_6_close,after_7_open,after_7_close,after_8_open,after_8_close,after_9_open,after_9_close,after_10_open,after_10_close,momentum_3d_before,momentum_5d_after,volatility_3d_before,volatility_5d_after
2005_Aug_09.json,0.0,0.0,0.0,0.0121951219512195,0.1574390521758942,0.0003795929711728,0.0003798837764601,0.0003739180320285,0.0003837619396416,0.998482843280697,174,6,poor,poor,poor,neutral,good,2,0,4,1,1,0,1,0,1,0,2005-08-09 00:00:00-04:00,SPY,85.10476684570312,0.0034852452952584,-0.0004858872175085,85.4358568018039,85.79450988769531,85.69793987386296,86.02210998535156,85.6841494554869,85.33238983154297,85.14616249448372,84.75302124023438,84.93924415367725,84.5943832397461,85.40137783395618,85.06341552734375,85.02198764788649,85.40133666992188,85.22893401589818,84.8771743774414,84.98750472180245,85.40133666992188,85.13925361366708,84.2908935546875,84.27713366829968,84.28402709960938,84.18058471236816,84.27714538574219,84.58059813348093,84.47024536132812,84.54611519437849,84.47024536132812,84.49091359941471,84.31158447265625,-0.0165972067628727,-0.0095631927702848,0.0032524083903205,0.0077930638344414
2005_Dec_13.json,0.0,2.2784233310548484e-05,0.0,0.0504545454545454,0.0,0.0003921261472258,0.3925738723145041,0.00038252166593,0.2094417056518608,0.397209774220479,126,3,poor,neutral,poor,very good,poor,0,0,3,1,0,0,0,0,1,0,2005-12-13 00:00:00-05:00,SPY,88.1822738647461,-0.0009424590141264,0.0039275054902451,88.0021709716603,87.84285736083984,87.80824502293123,87.33031463623047,87.42729558211951,87.27490997314453,87.38573604129267,87.50348663330078,87.76665559009356,87.58656311035156,88.0991656858561,88.52861022949219,88.54937488471425,88.2723159790039,88.62883457085898,87.98821258544922,88.24582720035144,87.53556823730469,87.64006781566577,87.61917877197266,87.89071954104173,87.75841522216797,87.95339366050497,88.21800231933594,88.28067077624277,88.2667465209961,88.40599877728928,87.36846923828125,87.55647363270556,87.56343841552734,0.0029342442562869,-0.0063855814563945,0.0016269228143899,0.0036542246526506
2005_Feb_02.json,0.0,0.0,0.0,0.0746951219512195,0.1574390521758942,0.0003916581493056,0.0003917285453554,0.0003854448719386,0.0003963119620757,0.9984348564713246,160,7,poor,poor,poor,very good,good,1,0,3,1,1,0,1,0,1,0,2005-02-02 00:00:00-05:00,SPY,81.61188507080078,-0.0017609915854265,-0.0025994123791148,80.27756919618284,80.21598815917969,80.18861529334693,80.35283660888672,80.3938906326463,80.35283660888672,80.70865642202183,80.85235595703125,80.9139244433962,81.36553955078125,81.4681672279203,81.39974212646484,81.42713941117422,82.26878356933594,82.28247671293633,82.15930938720703,82.2277024611498,82.25507354736328,82.39878252014807,81.63925170898438,81.87874235080994,81.93347930908203,81.9060927223647,82.63825225830078,82.5835423816433,82.57669830322266,82.65881826538995,82.8846206665039,82.7477615162142,82.9393539428711,0.0126032008903904,0.0003353266274861,0.0036274280346977,0.006706023176537
2005_Jun_30.json,0.0,0.0,0.0,0.0576496674057649,0.1574390521758942,0.000383707052888,0.0003841256363342,0.0003781522923785,0.0003874909006319,0.9984665241177672,161,7,poor,poor,poor,very good,good,2,0,3,1,1,0,1,0,1,0,2005-06-30 00:00:00-04:00,SPY,82.20106506347656,0.002264989266538,0.0029362578843016,83.67708333666639,82.67008972167969,82.68387119861804,82.06312561035156,82.05623159773485,82.18038177490234,82.35277250377756,82.87006378173828,83.0218110426217,82.64936065673828,82.38724959354333,82.44242858886719,82.24934522646778,83.10459899902344,83.03561074312731,82.40796661376953,81.58721149648066,82.73214721679688,82.74592436122704,83.67704772949219,83.68399013478971,84.10472106933594,84.13918867068526,84.3254165649414,84.33229943427511,84.44265747070312,84.82201537675485,84.77373504638672,84.69094278656074,84.72542572021484,0.0071437084808378,0.0179557608514664,0.0055895690928009,0.0074991163688342
2005_Mar_22.json,0.0,0.0,0.0,0.0746951219512195,0.1574390521758942,0.0003759950186446,0.0003763783397761,0.0003704531088808,0.0003795544247524,0.998497619107946,190,7,poor,poor,poor,very good,good,2,0,3,1,1,0,1,0,1,0,2005-03-22 00:00:00-05:00,SPY,80.30438232421875,0.0004279764116485,0.0008557186364441,83.08305322542735,82.20719909667969,81.90613760157719,81.50926971435547,81.63923149475518,81.67344665527344,81.8225607871702,81.43099975585938,81.54776269808427,81.12872314453125,80.33875070560552,80.37310028076172,80.68904654085004,80.46922302246094,80.66160153939028,80.5860366821289,80.46924091000051,80.05020141601562,80.22193995725995,81.18367004394531,81.19054765809828,81.03254699707031,81.49280180754556,80.66846466064453,80.6203807682481,80.80585479736328,80.90888478055658,81.19053649902344,81.36913978775787,81.47218322753906,-0.004668752046949,0.0109494363106676,0.0031136899490217,0.007495216302873
2005_May_03.json,0.0,0.0,0.0,0.0088219162095927,0.1574390521758942,0.0003762597146112,0.0003765533350398,0.0003704623627356,0.0003801700210327,0.9984965545665804,181,8,poor,poor,poor,neutral,good,2,0,3,1,1,0,1,0,1,0,2005-05-03 00:00:00-04:00,SPY,80.0982894897461,0.0004291285647744,0.0077189975885454,79.65867219547948,79.13658905029297,78.90300335024789,79.44569396972656,79.18465879116488,78.44962310791016,79.0472405062929,79.51436614990234,79.73422004232502,79.9609146118164,80.13266195375571,80.71656799316406,80.83332274973777,80.6890640258789,81.0119231982988,80.43488311767578,80.51734651364667,80.93638610839844,80.62037243929369,80.0982894897461,80.32498074667966,80.53793334960938,80.59290943950752,79.65178680419922,79.89223693934446,79.49380493164062,79.48003876788711,80.23568725585938,79.96777021379563,80.77149963378906,0.0064851927945417,0.0,0.013382804399391,0.0073437052372285
2005_Nov_01.json,0.0,0.0,0.0,0.0,0.1574390521758942,0.0003786685690931,0.0003791037744315,0.000373223711888,0.0003829837374222,0.998486020207165,177,5,poor,poor,poor,neutral,good,2,0,4,1,0,0,0,0,1,0,2005-11-01 00:00:00-05:00,SPY,83.45835876464844,-0.0026560143228434,0.0104571199666808,82.92501068115234,82.92501068115234,82.77952017463264,82.68254852294922,82.56477870129211,81.8028564453125,82.03144198668508,82.98038482666016,83.31981980548944,83.20899200439453,83.23669216840852,84.33109283447266,84.60814574310737,84.6912612915039,84.78133102700559,84.58045959472656,84.76055353642616,84.66358184814453,84.45578235350638,84.66358184814453,84.55967654869453,84.77439880371094,84.73977609096086,85.43243408203125,85.4393506208735,85.72334289550781,85.74411519139436,85.67485046386719,85.57784848193361,85.36312103271484,0.0063670446889911,0.0144410110782886,0.0125272949069289,0.0047112391907789
2005_Sep_20.json,0.0,0.0,0.0,-0.0783333333333333,-0.7800609478241057,0.0003700278933955,0.000370595418325,0.0003643944446678,0.0003737426024711,0.9985212396411404,247,5,poor,poor,poor,very poor,poor,2,0,4,1,0,0,0,0,1,0,2005-09-20 00:00:00-04:00,SPY,84.53888702392578,-0.0021304451636378,-0.009340581142982,85.61518816737036,85.29102325439453,85.34615772118016,84.98060607910156,85.24270585467082,84.9392318725586,85.40471395375471,85.54324340820312,85.52249078643102,85.25927734375,84.35878156092633,83.7492446899414,83.77697533865455,84.04711151123047,83.97786688110355,84.11640167236328,84.51811426986211,84.21334838867188,84.17177411539977,84.19255828857422,84.45576541953689,84.27567291259766,84.19258260250379,84.96143341064453,84.93370959779344,85.22462463378906,85.16920281287058,84.91984558105469,85.05146192060337,83.9639892578125,0.0032792336687861,-0.0040966796174348,0.0053937004391313,0.0049668505645645
2006_Aug_08.json,0.0,0.0,0.0,0.0134489298111589,0.0,0.0004204585527665,0.0004201524394859,0.0004141789251023,0.9983222470661692,0.0004229630164758,158,4,poor,poor,poor,neutral,poor,1,0,6,1,0,0,0,0,1,0,2006-08-08 00:00:00-04:00,SPY,89.46586608886719,0.0060430559212698,-0.0033752697955991,89.41674826838805,89.33248901367188,89.58523834201488,89.93633270263672,89.41670663331756,90.1750717163086,90.63849051086206,90.02056121826172,89.80992889404297,89.80992889404297,90.00651332068705,89.16389465332031,88.88305253674325,89.43778228759766,89.29733733748506,89.18498992919922,89.6203696446804,89.25523376464844,90.05572795619305,90.32256317138672,90.8070205696535,91.07384490966795,90.98964303922918,91.30562591552734,91.417933418142,91.76902770996094,91.4109248398964,91.37582397460938,91.277512428287,91.36878967285156,-0.0014054810196865,0.0095756864597786,0.0027207609490444,0.006203675991177
2006_Dec_12.json,0.0,0.009090909090909,0.0,-0.013112326270221,0.0,0.0003617253296817,0.2659988914841878,0.0003528504048886,0.7329268198778756,0.0003597129033661,158,1,poor,good,poor,poor,poor,1,0,6,1,0,0,0,0,1,0,2006-12-12 00:00:00-05:00,SPY,99.95185089111328,0.0035985494188634,0.001058325125875,99.83900480295866,100.07879638671876,100.0576205863939,99.99414825439452,100.1704721939437,99.556884765625,99.53573931238824,99.74026489257812,99.74026806285548,100.02943420410156,100.31153256605182,100.05763244628906,100.05060949200453,100.9392547607422,101.1612046448791,100.9484405517578,101.0902430091904,100.67181396484376,100.38814488796906,100.86331176757812,100.90589094629848,100.80660247802734,100.89878049199858,100.4377899169922,100.45201707717784,99.8208236694336,99.86335474027332,100.4094467163086,100.61512377092812,101.06901550292967,0.0003528801467187,0.0091189994816383,0.0039290765436324,0.0042792657480057
